NM_B1_1
      Zeit;Beschleuni;Beschleuni;Beschleuni;Beschleuni;Beschleuni;Beschleuni;Beschleuni;Beschleuni;Beschleuni;Beschleuni;Beschleuni;Beschleuni;Beschleuni;Beschleuni;Beschleuni;
         s;      m/s2;      m/s2;      m/s2;      m/s2;      m/s2;      m/s2;      m/s2;      m/s2;      m/s2;      m/s2;      m/s2;      m/s2;      m/s2;      m/s2;      m/s2;
   X-Achse;   1.Kanal;   2.Kanal;   3.Kanal;   4.Kanal;   5.Kanal;   6.Kanal;   7.Kanal;   8.Kanal;   9.Kanal;  10.Kanal;  11.Kanal;  12.Kanal;  13.Kanal;  14.Kanal;  15.Kanal;
0.1611;0.0099;0.0006;-0.0030;0.0253;0.0166;-0.0153;0.0198;0.0078;0.0111;0.0023;0.0209;0.0006;-0.0169;-0.0055;0.0044;
0.1660;0.0094;-0.0027;-0.0076;0.0274;0.0157;-0.0150;0.0204;0.0107;0.0131;0.0020;0.0181;-0.0004;-0.0156;-0.0112;0.0049;
0.1709;0.0114;0.0034;-0.0116;0.0270;0.0157;-0.0147;0.0214;0.0031;0.0162;0.0034;0.0164;-0.0021;-0.0149;-0.0073;0.0035;
0.1758;0.0124;-0.0010;-0.0063;0.0269;0.0145;-0.0191;0.0209;0.0078;0.0129;0.0046;0.0182;0.0027;-0.0142;-0.0084;0.0001;
0.1807;0.0112;-0.0022;-0.0083;0.0271;0.0141;-0.0114;0.0218;0.0081;0.0095;0.0048;0.0177;-0.0052;-0.0144;-0.0092;0.0109;
0.1856;0.0106;0.0016;-0.0021;0.0271;0.0159;-0.0186;0.0235;0.0045;0.0118;0.0046;0.0179;0.0027;-0.0135;-0.0056;0.0009;
0.1904;0.0104;-0.0053;-0.0122;0.0280;0.0133;-0.0126;0.0210;0.0089;0.0140;0.0042;0.0153;-0.0050;-0.0134;-0.0134;0.0047;
0.1953;0.0111;-0.0016;-0.0066;0.0261;0.0136;-0.0168;0.0223;0.0068;0.0130;0.0037;0.0176;0.0002;-0.0148;-0.0082;-0.0010;
0.2002;0.0094;-0.0002;-0.0063;0.0259;0.0141;-0.0143;0.0216;0.0061;0.0113;0.0034;0.0188;-0.0020;-0.0152;-0.0041;0.0047;
0.2051;0.0083;-0.0032;-0.0070;0.0260;0.0149;-0.0127;0.0191;0.0119;0.0110;0.0037;0.0186;-0.0025;-0.0145;-0.0084;0.0071;
